query_id,chunk_id,bm25_score,cosine_qc,hybrid_score,rank,gap_top1_top2,lexical_overlap,tokens_count_q,tokens_count_c,label_relevance
q1,197,25.60764985396246,0.6823416948318481,18.130057406223276,1,1.3815275183994302,0.5714285714285714,16,300,0
q1,351,23.702927334860092,0.5216025114059448,16.748529887823846,2,1.3815275183994302,0.5,16,300,0
q1,127,23.594448234039177,0.540863037109375,16.678372674960237,3,1.3815275183994302,0.42857142857142855,16,300,0
q1,227,23.408857477557525,0.607000470161438,16.568300375338698,4,1.3815275183994302,0.5,16,300,0
q1,67,23.078095368096033,0.48817169666290283,16.301118266666094,5,1.3815275183994302,0.42857142857142855,16,300,0
q1,226,22.833016256871023,0.691093921661377,16.190439556308128,6,1.3815275183994302,0.5,16,300,0
q1,198,22.17991374052944,0.6787410974502563,15.729561947605685,7,1.3815275183994302,0.5,16,300,0
q1,262,22.150655362672964,0.7310662269592285,15.724778621958842,8,1.3815275183994302,0.6428571428571429,16,300,1
q1,259,22.027146260628857,0.5785293579101562,15.592561189813246,9,1.3815275183994302,0.5,16,300,0
q1,228,20.950915338010905,0.6525022387504578,14.86139140823277,10,1.3815275183994302,0.5,16,300,0
q1,110,20.865371650498513,0.5606973171234131,14.773969350485983,11,1.3815275183994302,0.5714285714285714,16,300,0
q1,267,20.80016456940063,0.685735821723938,14.76583594509762,12,1.3815275183994302,0.5714285714285714,16,300,0
q1,59,20.872927726952504,0.4380832016468048,14.742474369360792,13,1.3815275183994302,0.35714285714285715,16,300,0
q1,200,20.78413299555105,0.6035330295562744,14.729953005752616,14,1.3815275183994302,0.42857142857142855,16,300,0
q1,205,20.71013903075514,0.6581098437309265,14.694530274647876,15,1.3815275183994302,0.42857142857142855,16,300,0
q1,331,20.62929583653881,0.6291870474815369,14.629263199821626,16,1.3815275183994302,0.42857142857142855,16,300,0
q1,335,20.39505698501178,0.6942539215087891,14.484816065960883,17,1.3815275183994302,0.5,16,300,0
q1,274,20.35377536219437,0.6014518737792969,14.428078315669847,18,1.3815275183994302,0.42857142857142855,16,300,0
q1,258,20.333631699319646,0.6371753215789795,14.424694785997445,19,1.3815275183994302,0.42857142857142855,16,300,0
q1,233,20.295314798840806,0.6523864269256592,14.402436287266262,20,1.3815275183994302,0.5,16,300,0
q1,337,20.2710736758497,0.6762793660163879,14.392635382899705,21,1.3815275183994302,0.42857142857142855,16,300,0
q1,206,20.251392291047,0.6434524655342102,14.369010343393164,22,1.3815275183994302,0.42857142857142855,16,300,0
q1,333,20.2350074749489,0.6602039337158203,14.362566412578975,23,1.3815275183994302,0.5,16,300,0
q1,87,20.221895452876694,0.6516076326370239,14.350809106804792,24,1.3815275183994302,0.5,16,300,0
q1,199,20.135087766171814,0.674500048160553,14.296911450768436,25,1.3815275183994302,0.42857142857142855,16,300,0
q2,320,22.00334380723762,0.739808976650238,15.624283358061405,1,1.2445471636446275,0.6923076923076923,13,300,0
q2,262,20.32158659668891,0.5154185891151428,14.379736194416777,2,1.2445471636446275,0.7692307692307693,13,300,1
q2,224,20.09156656982432,0.6284579038619995,14.252633970035621,3,1.2445471636446275,0.7692307692307693,13,300,0
q2,292,19.306735200088916,0.5222231149673462,13.671381574552445,4,1.2445471636446275,0.6923076923076923,13,300,0
q2,254,17.84766977556186,0.6357145309448242,12.68408320217675,5,1.2445471636446275,0.6923076923076923,13,300,0
q2,289,16.331785177528577,0.6278485059738159,11.620604176062148,6,1.2445471636446275,0.6923076923076923,13,300,0
q2,304,16.164938512925236,0.6184858083724976,11.501002701559413,7,1.2445471636446275,0.6153846153846154,13,300,0
q2,238,16.134685496065106,0.31862178444862366,11.389866382580161,8,1.2445471636446275,0.6153846153846154,13,300,0
q2,252,15.103345461152976,0.6749095320701599,10.774814682428131,9,1.2445471636446275,0.6153846153846154,13,300,0
q2,283,15.039368760269262,0.6338312029838562,10.71770749308364,10,1.2445471636446275,0.6153846153846154,13,300,0
q2,282,15.031612383181962,0.6317510604858398,10.711653986373124,11,1.2445471636446275,0.6153846153846154,13,300,0
q2,107,15.01371898641423,0.6151732206344604,10.694155256680297,12,1.2445471636446275,0.5384615384615384,13,300,0
q2,203,14.945059566587277,0.618395209312439,10.647060259404824,13,1.2445471636446275,0.6153846153846154,13,300,0
q2,221,14.908348187602334,0.6798350811004639,10.639794255651772,14,1.2445471636446275,0.6153846153846154,13,300,0
q2,279,14.886181839899052,0.701553225517273,10.630793255584518,15,1.2445471636446275,0.6153846153846154,13,300,0
q2,267,14.888268845128707,0.5774385929107666,10.595019769463324,16,1.2445471636446275,0.6153846153846154,13,300,0
q2,258,14.831001513292964,0.6331323385238647,10.571640760862234,17,1.2445471636446275,0.6153846153846154,13,300,0
q2,222,14.732161759010044,0.6529143452644348,10.50838753488636,18,1.2445471636446275,0.6153846153846154,13,300,0
q2,271,14.728702750537192,0.575393557548523,10.48270999264059,19,1.2445471636446275,0.6153846153846154,13,300,0
q2,256,14.6231548012182,0.5828074216842651,10.41105058735802,20,1.2445471636446275,0.6153846153846154,13,300,0
q2,265,14.005275285587947,0.4884970784187317,9.950241823437183,21,1.2445471636446275,0.6153846153846154,13,300,0
q2,232,13.554391564582529,0.523395299911499,9.64509268518122,22,1.2445471636446275,0.6153846153846154,13,300,0
q2,264,13.399821468918145,0.7176392078399658,9.595166790594691,23,1.2445471636446275,0.5384615384615384,13,300,0
q2,342,13.367483886770064,0.6650416851043701,9.556751226270356,24,1.2445471636446275,0.5384615384615384,13,300,0
